date,open,high,low,close,volume,vwap,ticker
2021-03-22,390.03,394.07,389.97,392.59,73807542,391.9155,SPY
2021-03-23,391.91,393.46,388.66,389.5,90822581,391.2144,SPY
2021-03-24,391.0,392.75,387.47,387.52,97941109,390.114,SPY
2021-03-25,385.98,390.55,383.9,389.7,116251957,387.4372,SPY
2021-03-26,390.93,396.41,390.29,395.98,114564012,392.5261,SPY
2021-03-29,394.4,396.75,392.81,395.78,108206334,395.1982,SPY
2021-03-30,394.42,395.45,393.02,394.73,76525361,394.4529,SPY
2021-03-31,395.34,398.0,395.31,396.33,112809529,396.3384,SPY
2021-04-01,398.4,400.67,398.18,400.61,99895578,398.279,SPY
2021-04-05,403.46,406.94,403.38,406.36,91825660,404.9325,SPY
2021-04-06,405.76,407.24,405.4,406.12,62239948,406.378,SPY
2021-04-07,405.94,406.96,405.45,406.59,55675548,406.3138,SPY
2021-04-08,407.93,408.58,406.93,408.52,57794487,407.7764,SPY
2021-04-09,408.39,411.67,408.26,411.49,61267803,409.8054,SPY
2021-04-12,410.85,411.93,410.2,411.64,56907047,411.186,SPY
2021-04-13,411.53,413.529,411.12,412.86,56770624,412.2494,SPY
2021-04-14,412.83,413.96,410.87,411.45,61758661,412.362,SPY
2021-04-15,413.74,416.16,413.69,415.87,60298783,414.7335,SPY
2021-04-16,417.25,417.91,415.73,417.26,82295202,416.9368,SPY
2021-04-19,416.26,416.74,413.79,415.21,78626254,415.3593,SPY
2021-04-20,413.91,415.0859,410.59,412.17,81981133,412.6764,SPY
2021-04-21,411.51,416.29,411.36,416.07,66940318,414.5684,SPY
2021-04-22,415.89,416.78,411.13,412.27,97638164,413.9405,SPY
2021-04-23,412.87,418.25,412.79,416.74,73337139,415.659,SPY
2021-04-26,417.44,418.22,416.97,417.61,52214900,417.5082,SPY
2021-04-27,417.93,418.14,416.3,417.52,51484802,417.4828,SPY
2021-04-28,417.81,419.01,416.9,417.4,51148801,417.7436,SPY
2021-04-29,420.32,420.72,416.44,420.06,78779400,418.8354,SPY
2021-04-30,417.63,418.54,416.34,417.3,85741191,417.6486,SPY
2021-05-03,419.43,419.84,417.665,418.2,68340826,418.2948,SPY
2021-05-04,416.07,416.6,411.67,415.62,101780093,414.475,SPY
2021-05-05,417.38,417.63,414.94,415.75,60257756,416.2568,SPY
2021-05-06,415.83,419.21,413.675,419.07,74442960,416.6705,SPY
2021-05-07,419.89,422.815,419.16,422.12,67904191,421.614,SPY
2021-05-10,422.5,422.74,417.81,417.94,82023882,420.4215,SPY
2021-05-11,413.1,415.27,410.06,414.21,117104187,413.6393,SPY
2021-05-12,411.23,412.59,404.0,405.41,134557560,408.3354,SPY
2021-05-13,407.07,412.35,407.02,410.28,106574824,410.0025,SPY
2021-05-14,413.21,417.49,413.18,416.58,82431395,415.2963,SPY
